id;start_date;end_date;language
1;2024-06-27T00:44:09;2024-06-26T18:55:39;ENGLISH
2;2024-06-27T06:15:26;2024-06-27T01:34:37;FRENCH
3;2024-06-27T08:03:41;2024-06-27T03:59:17;SPANISH
4;2024-06-27T13:36:51;2024-06-27T01:32:00;FRENCH
5;2024-06-26T19:23:48;2024-06-27T09:03:49;FRENCH
6;2024-06-27T12:41:27;2024-06-26T19:36:46;SPANISH
7;2024-06-27T11:18:01;2024-06-26T19:13:50;FRENCH
8;2024-06-27T16:18:33;2024-06-26T19:44:50;SPANISH
9;2024-06-27T15:45:58;2024-06-27T13:45:39;SPANISH
10;2024-06-26T22:04:09;2024-06-27T10:35:36;SPANISH
