id;street_address;postal_code;city;state_province
1;mmm adventurously;jagged husband shred;North Wallace;whoever properly
2;than daily;phooey summary;Evansville;whereas gash
3;drama toggle merrily;dresser stimulate that;Sheldonfield;sleepily nor
4;murky;title correctly;Corwinbury;onto labour
5;till;surprised thoroughly;Farmington;bitterly gall consequently
6;phew;double among coarse;New Bonitacester;when mod pish
7;pfft;dash defiantly puzzled;Fort Zoiestad;duh fortunately because
8;nestmate kissingly;whereas;Port Charlotte;blah
9;violin ample;helplessly usually;New Daytonfurt;that
10;remortgage qua intentionality;sting;North Dennis;upon gosh till
